episode,reward,avg_reward,filled_cells,success_rate,epsilon,loss,avg_q_value
73,100.0,100.0,100,1.0,0.856,0.5616285699605942,
74,100.0,100.0,100,1.0,0.854,0.652279200553894,
75,100.0,100.0,100,1.0,0.852,0.7032440474629402,
76,100.0,100.0,100,1.0,0.85,0.6676355412602425,7.4612274169921875
77,100.0,100.0,100,1.0,0.848,0.7542871552705764,5.0633955001831055
78,100.0,100.0,100,1.0,0.846,0.7413803720474244,
79,100.0,100.0,100,1.0,0.844,0.7167940163612365,
80,100.0,100.0,100,1.0,0.842,0.7224460881948471,
81,100.0,100.0,100,1.0,0.84,0.8589913627505302,
82,100.0,100.0,100,1.0,0.838,0.8186389371752739,
83,100.0,100.0,100,1.0,0.836,0.7797288790345192,
84,100.0,100.0,100,1.0,0.834,0.8692908266186714,
85,100.0,100.0,100,1.0,0.832,0.8492408761382103,5.7250142097473145
86,100.0,100.0,100,1.0,0.83,0.8388134360313415,
87,100.0,100.0,100,1.0,0.8280000000000001,0.912759217619896,
88,100.0,100.0,100,1.0,0.8260000000000001,0.9704884350299835,6.998051643371582
89,100.0,100.0,100,1.0,0.8240000000000001,0.967499472796917,7.301122188568115
90,100.0,100.0,100,1.0,0.8220000000000001,0.984590670466423,
91,100.0,100.0,100,1.0,0.8200000000000001,0.9799608361721038,
92,100.0,100.0,100,1.0,0.8180000000000001,1.0560988512635232,7.330361843109131
93,100.0,100.0,100,1.0,0.8160000000000001,1.050089933872223,
94,100.0,100.0,100,1.0,0.8140000000000001,1.0607233959436417,
95,100.0,100.0,100,1.0,0.812,1.003976699113846,7.195682525634766
96,100.0,100.0,100,1.0,0.81,1.0822936591506005,7.891590118408203
97,100.0,100.0,100,1.0,0.808,1.0479932215809822,
98,100.0,100.0,100,1.0,0.806,1.1392236596345902,8.083356857299805
99,100.0,100.0,100,1.0,0.804,1.1868861156702042,
100,100.0,100.0,100,1.0,0.802,1.1934022879600525,
